cf_index,cf_score,cf_target_market,cf_serving_size,cf_sugar_result,cf_fiber_result,cf_sodium_result,cf_sugar_per_serving,cf_fiber_per_serving,cf_sodium_per_serving,cf_calories_per_serving,has_white_bg,has_character,has_downward_gaze,greyscale_peak,b_mean,g_mean,r_mean,b_sd,g_sd,r_sd,most_frequent_colour,most_frequent_colour_count,most_dominant_colour,url,cover_image_url,fn,fn_cropped,company
1,50,Family,29,24%,3%,293,7,1,85,120,0,1,0,95,35.58,71.37,208.29,54.28,86.32,62.01,#e70000,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=1,http://cerealfacts.org/media/cereal_images/AnniesFruityBunnies.jpg,img_001_anniesfruitybunnies.jpg,img_001_anniesfruitybunnies_cropped.png,Annie's
2,52,Family,29,24%,3%,310,7,1,90,110,0,1,0,115,53.31,107.21,195.62,46.53,48.07,54.99,#d8501e,256,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=2,http://cerealfacts.org/media/cereal_images/AnniesHoneyBunnies.jpg,img_002_annieshoneybunnies.jpg,img_002_annieshoneybunnies_cropped.png,Annie's
3,50,Family,29,24%,3%,293,7,1,85,120,0,1,0,114,65.4,123.12,191.4,52.63,60.91,40.15,#bd582a,256,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=3,http://cerealfacts.org/media/cereal_images/AnniesCinnamonRollBunnyOs.jpg,img_003_anniescinnamonrollbunnyos.jpg,img_003_anniescinnamonrollbunnyos_cropped.png,Annie's
4,64,Family,29,7%,3%,379,2,1,110,120,0,1,0,51,95.78,78.63,115.69,47.58,71.51,58.18,#581680,1272,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=4,http://cerealfacts.org/media/cereal_images/AnniesOrganicBunnyOs.jpg,img_004_anniesorganicbunnyos.jpg,img_004_anniesorganicbunnyos_cropped.png,Annie's
5,58,Family,30,23%,10%,267,7,3,80,120,0,1,0,171,108.41,153.04,186.66,48.37,51.09,53.44,#ffffff,681,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=5,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPuffsCrunchyCocoa.jpg,img_005_barbarasbakerypuffinspuffscrunchycocoa.jpg,img_005_barbarasbakerypuffinspuffscrunchycocoa_cropped.png,Barbara's Bakery
6,54,Family,30,23%,3%,267,7,1,80,120,0,1,0,182,128.18,163.73,198.0,50.96,58.7,55.28,#ffffff,672,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=6,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPuffsFruitMedley.jpg,img_006_barbarasbakerypuffinspuffsfruitmedley.jpg,img_006_barbarasbakerypuffinspuffsfruitmedley_cropped.png,Barbara's Bakery
7,56,Family,30,20%,20%,500,6,6,150,90,0,1,0,167,103.42,143.66,183.07,48.73,49.13,49.88,#c8ac87,256,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=7,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsCinnamon.jpg,img_007_barbarasbakerypuffinscinnamon.jpg,img_007_barbarasbakerypuffinscinnamon_cropped.png,Barbara's Bakery
8,68,Family,30,20%,10%,267,6,3,80,120,0,1,0,167,113.46,141.63,175.29,45.86,52.41,50.26,#bc9e78,256,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=8,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsHoneyRice.jpg,img_008_barbarasbakerypuffinshoneyrice.jpg,img_008_barbarasbakerypuffinshoneyrice_cropped.png,Barbara's Bakery
9,46,Family,30,20%,7%,767,6,2,230,110,0,1,0,167,104.14,137.38,174.56,47.57,55.44,55.31,#c5a781,690,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=9,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPeanutButter.jpg,img_009_barbarasbakerypuffinspeanutbutter.jpg,img_009_barbarasbakerypuffinspeanutbutter_cropped.png,Barbara's Bakery
10,50,Family,27,19%,19%,704,5,5,190,90,0,1,0,167,123.32,152.62,183.37,49.18,50.39,50.71,#c0a381,82,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=10,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsOriginal.jpg,img_010_barbarasbakerypuffinsoriginal.jpg,img_010_barbarasbakerypuffinsoriginal_cropped.png,Barbara's Bakery
11,58,Family,30,20%,10%,350,6,3,105,110,0,1,0,166,104.39,126.97,153.66,47.02,57.5,65.18,#bea179,256,violet,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=11,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsPeanutButterChocolate.jpg,img_011_barbarasbakerypuffinspeanutbutterchocolate.jpg,img_011_barbarasbakerypuffinspeanutbutterchocolate_cropped.png,Barbara's Bakery
12,68,Family,30,20%,10%,267,6,3,80,110,0,1,0,167,114.78,142.95,169.57,45.86,51.42,58.09,#c4a785,251,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=12,http://cerealfacts.org/media/cereal_images/BarbarasBakeryPuffinsMultigrain.jpg,img_012_barbarasbakerypuffinsmultigrain.jpg,img_012_barbarasbakerypuffinsmultigrain_cropped.png,Barbara's Bakery
13,50,Family,55,27%,7%,400,15,4,220,230,0,0,0,167,106.66,139.23,176.67,47.94,52.63,50.59,#c3a57f,768,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=13,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedOatsCinnamonCrunch.jpg,img_013_barbarasbakeryshreddedoatscinnamoncrunch.jpg,img_013_barbarasbakeryshreddedoatscinnamoncrunch_cropped.png,Barbara's Bakery
14,52,Adult,55,27%,7%,382,15,4,210,220,0,0,0,167,115.36,148.33,179.65,48.05,46.47,44.93,#9a8d84,217,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=14,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedOatsVanillaAlmond.jpg,img_014_barbarasbakeryshreddedoatsvanillaalmond.jpg,img_014_barbarasbakeryshreddedoatsvanillaalmond_cropped.png,Barbara's Bakery
15,56,Adult,58,21%,9%,448,12,5,260,220,0,0,0,167,125.97,150.84,178.51,41.94,48.3,52.71,#d4bca0,149,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=15,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedOatsOriginal.jpg,img_015_barbarasbakeryshreddedoatsoriginal.jpg,img_015_barbarasbakeryshreddedoatsoriginal_cropped.png,Barbara's Bakery
16,54,Adult,32,16%,12%,625,5,4,200,120,0,0,0,121,106.6,121.79,128.66,42.36,42.75,41.94,#d1e7f2,512,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=16,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedSpoonfulsMultigrain.jpg,img_016_barbarasbakeryshreddedspoonfulsmultigrain.jpg,img_016_barbarasbakeryshreddedspoonfulsmultigrain_cropped.png,Barbara's Bakery
17,82,Adult,40,0%,12%,0,0,5,0,140,0,0,0,177,109.35,132.46,169.86,58.29,63.13,63.88,#c0a890,255,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=17,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedWheat.jpg,img_017_barbarasbakeryshreddedwheat.jpg,img_017_barbarasbakeryshreddedwheat_cropped.png,Barbara's Bakery
18,58,Adult,55,25%,7%,255,14,4,140,220,0,0,0,167,117.24,144.13,175.84,46.92,51.81,50.07,#c0a381,81,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=18,http://cerealfacts.org/media/cereal_images/BarbarasBakeryShreddedMinisBlueberryBurst.jpg,img_018_barbarasbakeryshreddedminisblueberryburst.jpg,img_018_barbarasbakeryshreddedminisblueberryburst_cropped.png,Barbara's Bakery
19,70,Adult,55,20%,18%,255,11,10,140,190,0,0,0,167,107.3,138.13,174.5,48.61,53.29,49.01,#c5a783,238,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=19,http://cerealfacts.org/media/cereal_images/BarbarasBakeryUltimaOrganicCranberry.jpg,img_019_barbarasbakeryultimaorganiccranberry.jpg,img_019_barbarasbakeryultimaorganiccranberry_cropped.png,Barbara's Bakery
20,72,Adult,55,16%,18%,255,9,10,140,200,0,0,0,167,125.19,155.95,184.23,43.54,44.45,44.97,#d4bca0,130,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=20,http://cerealfacts.org/media/cereal_images/BarbarasBakeryUltimaOrganicFlaxGranola.jpg,img_020_barbarasbakeryultimaorganicflaxgranola.jpg,img_020_barbarasbakeryultimaorganicflaxgranola_cropped.png,Barbara's Bakery
21,72,Adult,55,15%,25%,255,8,14,140,180,0,0,0,167,113.38,141.59,173.19,42.95,45.3,50.28,#c3a581,238,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=21,http://cerealfacts.org/media/cereal_images/BarbarasBakeryUltimaOrganicHighFiberOriginal.jpg,img_021_barbarasbakeryultimaorganichighfiberoriginal.jpg,img_021_barbarasbakeryultimaorganichighfiberoriginal_cropped.png,Barbara's Bakery
22,54,Adult,30,33%,7%,267,10,2,80,120,0,0,0,170,96.77,141.36,183.86,49.33,54.83,45.6,#d3bdb0,241,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=22,http://cerealfacts.org/media/cereal_images/BarbarasBakeryHoleNOatsHoneyNut.jpg,img_022_barbarasbakeryholenoatshoneynut.jpg,img_022_barbarasbakeryholenoatshoneynut_cropped.png,Barbara's Bakery
23,78,Adult,30,3%,10%,267,1,3,80,120,0,0,0,167,114.79,156.59,198.7,44.07,46.91,45.25,#c5a781,240,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=23,http://cerealfacts.org/media/cereal_images/BarbarasBakeryHoleNOatsFruitJuiceSweetened.jpg,img_023_barbarasbakeryholenoatsfruitjuicesweetened.jpg,img_023_barbarasbakeryholenoatsfruitjuicesweetened_cropped.png,Barbara's Bakery
24,68,Adult,30,10%,3%,267,3,1,80,110,0,0,0,167,121.41,163.36,196.64,43.19,46.31,46.67,#c1a381,80,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=24,http://cerealfacts.org/media/cereal_images/BarbarasBakeryCornFlakes.jpg,img_024_barbarasbakerycornflakes.jpg,img_024_barbarasbakerycornflakes_cropped.png,Barbara's Bakery
25,70,Adult,30,3%,3%,317,1,1,95,120,0,0,0,167,110.04,141.32,176.9,45.31,53.04,52.15,#c1a381,64,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=25,http://cerealfacts.org/media/cereal_images/BarbarasBakeryBrownRiceCrisps.jpg,img_025_barbarasbakerybrownricecrisps.jpg,img_025_barbarasbakerybrownricecrisps_cropped.png,Barbara's Bakery
26,50,Family,27,30%,11%,389,8,3,105,110,1,0,0,255,166.53,193.34,210.86,80.12,55.24,51.5,#ffffff,33899,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=26,http://cerealfacts.org/media/cereal_images/CFCinnamonCrunch.jpg,img_026_cfcinnamoncrunch.jpg,img_026_cfcinnamoncrunch_cropped.png,Cascadian Farms
27,52,Child,30,27%,10%,533,8,3,160,110,1,1,1,236,147.06,164.24,197.1,83.61,70.59,58.11,#fd3e24,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=27,http://cerealfacts.org/media/cereal_images/CFCliffordCrunch.jpg,img_027_cfcliffordcrunch.jpg,img_027_cfcliffordcrunch_cropped.png,Cascadian Farms
28,50,Adult,55,29%,5%,364,16,3,200,210,0,0,0,246,115.05,163.11,183.51,75.1,66.42,71.96,#ffffff,39012,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=28,http://cerealfacts.org/media/cereal_images/CFGranolaCinnamonRaisin.jpg,img_028_cfgranolacinnamonraisin.jpg,img_028_cfgranolacinnamonraisin_cropped.png,Cascadian Farms
29,54,Adult,52,27%,6%,183,14,3,95,210,1,0,0,255,161.85,187.4,199.62,85.6,67.48,60.23,#fcfcfc,214,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=29,http://cerealfacts.org/media/cereal_images/CFGranolaFruitNut.jpg,img_029_cfgranolafruitnut.jpg,img_029_cfgranolafruitnut_cropped.png,Cascadian Farms
30,54,Adult,55,25%,5%,291,14,3,160,220,1,0,0,222,159.29,178.52,185.9,73.98,52.57,41.31,#d9dde0,311,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=30,http://cerealfacts.org/media/cereal_images/CFGranolaMapleBrownSugar.jpg,img_030_cfgranolamaplebrownsugar.jpg,img_030_cfgranolamaplebrownsugar_cropped.png,Cascadian Farms
31,54,Adult,55,24%,5%,218,13,3,120,230,1,0,0,194,97.97,135.67,153.93,73.03,62.19,55.89,#c7c0b8,180,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=31,http://cerealfacts.org/media/cereal_images/CFGranolaOatsHoney.jpg,img_031_cfgranolaoatshoney.jpg,img_031_cfgranolaoatshoney_cropped.png,Cascadian Farms
32,56,Adult,50,26%,6%,170,13,3,85,210,1,0,0,237,173.18,186.11,193.86,66.91,57.17,52.46,#cccdc8,237,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=32,http://cerealfacts.org/media/cereal_images/CFGranolaFrenchVanillaAlmond.jpg,img_032_cfgranolafrenchvanillaalmond.jpg,img_032_cfgranolafrenchvanillaalmond_cropped.png,Cascadian Farms
33,52,Adult,52,27%,8%,308,14,4,160,210,1,0,0,240,159.69,186.05,194.45,74.57,57.17,48.25,#e9eae2,186,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=33,http://cerealfacts.org/media/cereal_images/CFGranolaDarkChocolateAlmond.jpg,img_033_cfgranoladarkchocolatealmond.jpg,img_033_cfgranoladarkchocolatealmond_cropped.png,Cascadian Farms
34,48,Adult,55,20%,15%,655,11,8,360,200,1,0,0,218,154.74,171.48,177.42,71.24,55.24,44.43,#d5dde0,461,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=34,http://cerealfacts.org/media/cereal_images/CFHeartyMorning.jpg,img_034_cfheartymorning.jpg,img_034_cfheartymorning_cropped.png,Cascadian Farms
35,50,Family,30,23%,10%,567,7,3,170,110,1,0,0,255,178.13,202.13,217.36,83.34,61.32,54.28,#f6f6f6,199,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=35,http://cerealfacts.org/media/cereal_images/CFHoneyNutOs.jpg,img_035_cfhoneynutos.jpg,img_035_cfhoneynutos_cropped.png,Cascadian Farms
36,70,Adult,30,13%,7%,383,4,2,115,110,1,0,0,225,141.27,161.36,177.69,81.13,66.0,49.37,#d2d2d4,974,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=36,http://cerealfacts.org/media/cereal_images/CFMultigrainSquares.jpg,img_036_cfmultigrainsquares.jpg,img_036_cfmultigrainsquares_cropped.png,Cascadian Farms
37,58,Family,30,3%,10%,633,1,3,190,110,1,0,0,222,163.57,189.09,189.71,71.46,41.64,38.51,#d9e2e1,280,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=37,http://cerealfacts.org/media/cereal_images/CFPurelyOs.jpg,img_037_cfpurelyos.jpg,img_037_cfpurelyos_cropped.png,Cascadian Farms
38,50,Adult,55,25%,11%,618,14,6,340,180,1,0,0,255,173.12,196.69,208.89,86.19,70.9,59.88,#fefefc,507,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=38,http://cerealfacts.org/media/cereal_images/CFRaisinBran.jpg,img_038_cfraisinbran.jpg,img_038_cfraisinbran_cropped.png,Cascadian Farms
39,54,Family,28,29%,11%,339,8,3,95,100,1,0,0,255,162.25,175.33,205.86,90.87,81.5,60.83,#fafafa,512,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=39,http://cerealfacts.org/media/cereal_images/CFChocolateOs.jpg,img_039_cfchocolateos.jpg,img_039_cfchocolateos_cropped.png,Cascadian Farms
40,50,Family,28,29%,11%,464,8,3,130,100,1,1,1,233,160.63,191.58,208.07,82.56,46.13,43.41,#e3f2f9,1024,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=40,http://cerealfacts.org/media/cereal_images/CFFruitfulOs.jpg,img_040_cffruitfulos.jpg,img_040_cffruitfulos_cropped.png,Cascadian Farms
41,50,Adult,55,24%,7%,509,13,4,280,200,1,0,0,247,141.9,170.34,179.77,93.15,71.73,74.39,#ffffff,744,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=41,http://cerealfacts.org/media/cereal_images/GMBasic4.jpg,img_041_gmbasic4.jpg,img_041_gmbasic4_cropped.png,General Mills
42,44,Family,33,30%,3%,576,10,1,190,130,0,1,0,58,178.99,144.84,106.0,70.2,80.42,90.85,#ffffff,363,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=42,http://cerealfacts.org/media/cereal_images/GMBooBerry.jpg,img_042_gmbooberry.jpg,img_042_gmbooberry_cropped.png,General Mills
43,50,Family,30,33%,7%,383,10,2,115,120,0,0,0,89,101.08,158.23,107.78,56.01,44.36,81.85,#018c49,479,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=43,http://cerealfacts.org/media/cereal_images/GMCheeriosAppleCinnamon.jpg,img_043_gmcheeriosapplecinnamon.jpg,img_043_gmcheeriosapplecinnamon_cropped.png,General Mills
44,46,Family,28,32%,7%,571,9,2,160,100,0,0,0,238,142.07,196.04,203.38,55.21,58.54,76.42,#fff0ab,161,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=44,http://cerealfacts.org/media/cereal_images/GMCheeriosBananaNut.jpg,img_044_gmcheeriosbanananut.jpg,img_044_gmcheeriosbanananut_cropped.png,General Mills
45,46,Child,28,32%,7%,571,9,2,160,110,0,1,1,60,74.38,131.48,195.93,61.83,91.27,61.87,#8d1c14,1890,yellow,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=45,http://cerealfacts.org/media/cereal_images/GMCheeriosHoneyNut.jpg,img_045_gmcheerioshoneynut.jpg,img_045_gmcheerioshoneynut_cropped.png,General Mills
46,46,Family,28,32%,7%,607,9,2,170,110,0,0,0,36,151.72,122.52,103.23,68.47,69.49,77.91,#091f84,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=46,http://cerealfacts.org/media/cereal_images/GMCheeriosFrosted.jpg,img_046_gmcheeriosfrosted.jpg,img_046_gmcheeriosfrosted_cropped.png,General Mills
47,48,Family,27,33%,7%,500,9,2,135,100,0,0,0,72,74.49,97.07,211.48,73.57,87.05,40.95,#e90000,177,red,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=47,http://cerealfacts.org/media/cereal_images/GMCheeriosFruity.jpg,img_047_gmcheeriosfruity.jpg,img_047_gmcheeriosfruity_cropped.png,General Mills
48,56,Family,29,21%,10%,414,6,3,120,110,1,0,0,222,150.41,145.05,162.41,67.08,66.02,53.02,#d5d3d4,134,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=48,http://cerealfacts.org/media/cereal_images/GMCheeriosMultigrain.jpg,img_048_gmcheeriosmultigrain.jpg,img_048_gmcheeriosmultigrain_cropped.png,General Mills
49,50,Family,27,30%,7%,500,8,2,135,100,0,0,0,58,156.03,130.13,105.58,64.58,77.24,96.05,#352178,394,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=49,http://cerealfacts.org/media/cereal_images/GMCheeriosOatClusterCrunch.jpg,img_049_gmcheeriosoatclustercrunch.jpg,img_049_gmcheeriosoatclustercrunch_cropped.png,General Mills
50,70,Family,28,4%,11%,571,1,3,160,100,0,0,0,179,66.45,152.85,194.14,57.57,64.14,64.29,#ebca23,244,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=50,http://cerealfacts.org/media/cereal_images/GMCheeriosRegular.jpg,img_050_gmcheeriosregular.jpg,img_050_gmcheeriosregular_cropped.png,General Mills
51,46,Family,30,30%,7%,600,9,2,180,120,1,0,0,231,167.29,160.51,171.94,59.93,59.74,57.01,#dfdde0,234,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=51,http://cerealfacts.org/media/cereal_images/GMCheeriosYogurtBurstStrawberry.jpg,img_051_gmcheeriosyogurtburststrawberry.jpg,img_051_gmcheeriosyogurtburststrawberry_cropped.png,General Mills
52,48,Family,28,32%,7%,464,9,2,130,110,0,0,0,255,155.15,168.52,187.65,77.09,75.89,76.26,#fefffa,512,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=52,http://cerealfacts.org/media/cereal_images/GMCheeriosMultigrainPeanutButter.jpg,img_052_gmcheeriosmultigrainpeanutbutter.jpg,img_052_gmcheeriosmultigrainpeanutbutter_cropped.png,General Mills
53,52,Family,32,28%,16%,391,9,5,125,110,0,0,0,208,100.67,142.26,169.77,65.32,61.54,61.73,#d6d1b4,204,violet,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=53,http://cerealfacts.org/media/cereal_images/GMCheeriosCinnamonBurst.jpg,img_053_gmcheerioscinnamonburst.jpg,img_053_gmcheerioscinnamonburst_cropped.png,General Mills
54,46,Family,27,33%,7%,630,9,2,170,100,0,0,0,108,89.2,101.13,125.36,71.23,69.01,69.8,#3e1d18,254,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=54,http://cerealfacts.org/media/cereal_images/GMCheeriosChocolate.jpg,img_054_gmcheerioschocolate.jpg,img_054_gmcheerioschocolate_cropped.png,General Mills
55,46,Family,27,33%,7%,630,9,2,170,100,0,0,0,71,80.67,95.16,135.4,77.2,70.76,66.32,#fefefe,256,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=55,http://cerealfacts.org/media/cereal_images/GMChexChocolate.jpg,img_055_gmchexchocolate.jpg,img_055_gmchexchocolate_cropped.png,General Mills
56,46,Family,30,27%,3%,600,8,1,180,120,0,0,0,254,137.95,146.2,181.71,80.59,72.94,60.61,#e3e5e4,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=56,http://cerealfacts.org/media/cereal_images/GMChexCinnamon.jpg,img_056_gmchexcinnamon.jpg,img_056_gmchexcinnamon_cropped.png,General Mills
57,52,Family,31,10%,6%,774,3,2,240,120,0,0,0,253,142.6,175.15,180.65,86.37,74.14,73.6,#ffffff,1724,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=57,http://cerealfacts.org/media/cereal_images/GMChexCorn.jpg,img_057_gmchexcorn.jpg,img_057_gmchexcorn_cropped.png,General Mills
58,44,Family,32,28%,3%,625,9,1,200,120,0,0,0,71,85.02,107.23,173.89,79.71,74.51,63.78,#ffffff,30338,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=58,http://cerealfacts.org/media/cereal_images/GMChexHoneyNut.jpg,img_058_gmchexhoneynut.jpg,img_058_gmchexhoneynut_cropped.png,General Mills
59,52,Family,47,21%,13%,574,10,6,270,160,0,0,0,228,125.34,136.05,178.22,79.23,70.45,54.91,#ba0001,238,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=59,http://cerealfacts.org/media/cereal_images/GMChexMultiBran.jpg,img_059_gmchexmultibran.jpg,img_059_gmchexmultibran_cropped.png,General Mills
60,50,Family,27,7%,4%,889,2,1,240,100,0,0,0,253,180.49,169.75,163.37,80.69,78.08,87.93,#ffffff,7727,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=60,http://cerealfacts.org/media/cereal_images/GMChexRice.jpg,img_060_gmchexrice.jpg,img_060_gmchexrice_cropped.png,General Mills
61,56,Family,47,11%,13%,574,5,6,270,160,0,0,0,239,151.13,172.51,202.47,73.55,57.98,51.81,#ebece7,204,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=61,http://cerealfacts.org/media/cereal_images/GMChexWheat.jpg,img_061_gmchexwheat.jpg,img_061_gmchexwheat_cropped.png,General Mills
62,40,Child,31,32%,6%,710,10,2,220,130,1,1,0,212,131.5,154.41,187.08,78.02,60.17,59.77,#dbd0e0,152,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=62,http://cerealfacts.org/media/cereal_images/GMCinnamonToastCrunchRegular.jpg,img_062_gmcinnamontoastcrunchregular.jpg,img_062_gmcinnamontoastcrunchregular_cropped.png,General Mills
63,42,Child,30,30%,3%,567,9,1,170,120,0,0,0,86,96.25,92.12,180.49,58.65,79.81,68.94,#e80c4c,159,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=63,http://cerealfacts.org/media/cereal_images/GMFrenchToastCrunch.jpg,img_063_gmfrenchtoastcrunch.jpg,img_063_gmfrenchtoastcrunch_cropped.png,General Mills
64,46,Child,27,33%,7%,481,9,2,130,110,0,1,1,48,61.53,94.2,127.57,62.53,61.87,65.9,#2b1809,512,black,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=64,http://cerealfacts.org/media/cereal_images/GMCocoaPuffsBrownieCrunch.jpg,img_064_gmcocoapuffsbrowniecrunch.jpg,img_064_gmcocoapuffsbrowniecrunch_cropped.png,General Mills
