cf_index,cf_score,cf_target_market,cf_serving_size,cf_sugar_result,cf_fiber_result,cf_sodium_result,cf_sugar_per_serving,cf_fiber_per_serving,cf_sodium_per_serving,cf_calories_per_serving,has_white_bg,has_character,has_downward_gaze,greyscale_peak,b_mean,g_mean,r_mean,b_sd,g_sd,r_sd,most_frequent_colour,most_frequent_colour_count,most_dominant_colour,url,cover_image_url,fn,fn_cropped,company
65,44,Child,27,37%,7%,556,10,2,150,100,0,1,1,28,92.41,90.58,133.79,93.01,95.59,86.56,#ffffff,4123,black,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=65,http://cerealfacts.org/media/cereal_images/GMCocoaPuffsRegular.jpg,img_065_gmcocoapuffsregular.jpg,img_065_gmcocoapuffsregular_cropped.png,General Mills
66,46,Child,26,35%,4%,462,9,1,120,100,0,1,1,98,146.06,126.02,115.84,70.26,69.16,74.82,#e9ebe8,238,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=66,http://cerealfacts.org/media/cereal_images/GMCookieCrispRegular.jpg,img_066_gmcookiecrispregular.jpg,img_066_gmcookiecrispregular_cropped.png,General Mills
67,48,Child,27,33%,4%,444,9,1,120,100,0,1,1,254,148.98,163.57,181.52,89.79,87.59,75.67,#fffdfe,512,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=67,http://cerealfacts.org/media/cereal_images/GMCookieCrispSprinkles.jpg,img_067_gmcookiecrispsprinkles.jpg,img_067_gmcookiecrispsprinkles_cropped.png,General Mills
68,42,Family,27,37%,4%,593,10,1,160,100,0,1,0,185,44.91,95.36,151.05,50.43,70.06,63.54,#a84e12,222,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=68,http://cerealfacts.org/media/cereal_images/GMCountChocula.jpg,img_068_gmcountchocula.jpg,img_068_gmcountchocula_cropped.png,General Mills
69,54,Adult,49,20%,10%,490,10,5,240,170,1,0,0,242,183.46,170.34,174.43,62.16,74.2,73.27,#f1f3f2,512,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=69,http://cerealfacts.org/media/cereal_images/GMCurvesFruitNutCrunch.jpg,img_069_gmcurvesfruitnutcrunch.jpg,img_069_gmcurvesfruitnutcrunch_cropped.png,General Mills
70,54,Adult,53,17%,9%,547,9,5,290,190,1,0,0,255,173.64,173.81,198.76,75.75,80.17,66.99,#e6e6e4,251,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=70,http://cerealfacts.org/media/cereal_images/GMCurvesHoneyCrunch.jpg,img_070_gmcurveshoneycrunch.jpg,img_070_gmcurveshoneycrunch_cropped.png,General Mills
71,52,Adult,27,15%,7%,667,4,2,180,100,1,0,0,245,162.21,179.8,176.11,79.06,74.53,73.43,#fafafa,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=71,http://cerealfacts.org/media/cereal_images/GMCurvesWholeGrainCrunch.jpg,img_071_gmcurveswholegraincrunch.jpg,img_071_gmcurveswholegraincrunch_cropped.png,General Mills
72,52,Child,27,22%,11%,556,6,3,150,100,0,1,0,51,111.05,133.99,154.75,75.38,66.81,88.71,#9fd9f1,256,orange,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=72,http://cerealfacts.org/media/cereal_images/GMDoraTheExplorer.jpg,img_072_gmdoratheexplorer.jpg,img_072_gmdoratheexplorer_cropped.png,General Mills
73,54,Adult,50,20%,18%,460,10,9,230,180,0,0,0,239,130.09,161.79,191.24,77.5,67.93,68.43,#fef8e0,458,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=73,http://cerealfacts.org/media/cereal_images/GMFiberOneCaramelDelight.jpg,img_073_gmfiberonecarameldelight.jpg,img_073_gmfiberonecarameldelight_cropped.png,General Mills
74,74,Adult,60,20%,15%,0,12,9,0,200,0,0,0,232,148.66,153.43,161.58,76.1,75.12,85.15,#f8e7cd,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=74,http://cerealfacts.org/media/cereal_images/GMFiberOneFrostedShreddedWheat.jpg,img_074_gmfiberonefrostedshreddedwheat.jpg,img_074_gmfiberonefrostedshreddedwheat_cropped.png,General Mills
75,68,Adult,52,12%,25%,442,6,13,230,160,0,0,0,239,140.98,181.25,200.64,74.72,62.12,71.61,#fef8e0,393,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=75,http://cerealfacts.org/media/cereal_images/GMFiberOneHoneyClusters.jpg,img_075_gmfiberonehoneyclusters.jpg,img_075_gmfiberonehoneyclusters_cropped.png,General Mills
76,78,Adult,30,0%,47%,350,0,14,105,60,0,0,0,243,134.95,170.98,192.12,79.23,69.5,77.5,#fff8ca,34,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=76,http://cerealfacts.org/media/cereal_images/GMFiberOneOriginalBran.jpg,img_076_gmfiberoneoriginalbran.jpg,img_076_gmfiberoneoriginalbran_cropped.png,General Mills
77,56,Adult,55,25%,20%,382,14,11,210,170,0,0,0,240,152.8,156.99,187.29,61.63,72.42,73.81,#ae3578,168,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=77,http://cerealfacts.org/media/cereal_images/GMFiberOneRaisinBranClusters.jpg,img_077_gmfiberoneraisinbranclusters.jpg,img_077_gmfiberoneraisinbranclusters_cropped.png,General Mills
78,64,Adult,30,10%,33%,467,3,10,140,80,0,0,0,230,165.74,174.29,193.14,85.97,68.49,66.32,#ffffff,34180,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=78,http://cerealfacts.org/media/cereal_images/GMFiberOne80CaloriesHoneySquares.jpg,img_078_gmfiberone80calorieshoneysquares.jpg,img_078_gmfiberone80calorieshoneysquares_cropped.png,General Mills
79,44,Family,33,30%,3%,576,10,1,190,130,0,1,1,50,126.45,78.19,158.14,62.6,70.2,78.48,#7d005c,2214,violet,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=79,http://cerealfacts.org/media/cereal_images/GMFrankenBerry.jpg,img_079_gmfrankenberry.jpg,img_079_gmfrankenberry_cropped.png,General Mills
80,42,Family,31,32%,6%,774,10,2,240,120,0,0,0,203,122.82,185.44,207.49,93.48,64.87,77.26,#ffffff,346,orange,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=80,http://cerealfacts.org/media/cereal_images/GMGoldenGrahams.jpg,img_080_gmgoldengrahams.jpg,img_080_gmgoldengrahams_cropped.png,General Mills
81,52,Adult,57,25%,7%,509,14,4,290,210,0,1,0,194,111.54,166.79,179.0,82.62,64.04,77.08,#eecf02,256,orange,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=81,http://cerealfacts.org/media/cereal_images/GMHoneyNutClusters.jpg,img_081_gmhoneynutclusters.jpg,img_081_gmhoneynutclusters_cropped.png,General Mills
82,54,Family,33,21%,6%,515,7,2,170,120,0,0,0,73,124.89,90.67,153.77,58.94,79.31,58.63,#ffffff,3541,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=82,http://cerealfacts.org/media/cereal_images/GMKixBerryBerry.jpg,img_082_gmkixberryberry.jpg,img_082_gmkixberryberry_cropped.png,General Mills
83,52,Family,33,18%,9%,576,6,3,190,120,0,0,0,254,115.99,126.65,168.87,89.44,82.21,92.57,#0515ca,124,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=83,http://cerealfacts.org/media/cereal_images/GMKixHoney.jpg,img_083_gmkixhoney.jpg,img_083_gmkixhoney_cropped.png,General Mills
84,56,Family,30,10%,10%,600,3,3,180,110,0,0,0,158,74.01,115.76,182.53,77.36,63.92,86.51,#ff7800,76,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=84,http://cerealfacts.org/media/cereal_images/GMKixRegular.jpg,img_084_gmkixregular.jpg,img_084_gmkixregular_cropped.png,General Mills
85,42,Child,27,37%,7%,630,10,2,170,110,0,1,1,75,67.79,110.41,192.49,62.53,84.05,68.91,#f20018,373,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=85,http://cerealfacts.org/media/cereal_images/GMLuckyCharmsRegular.jpg,img_085_gmluckycharmsregular.jpg,img_085_gmluckycharmsregular_cropped.png,General Mills
86,42,Child,28,36%,4%,571,10,1,160,110,0,1,1,254,110.42,146.41,168.94,71.24,82.16,73.78,#4e2428,79,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=86,http://cerealfacts.org/media/cereal_images/GMLuckyCharmsChocolate.jpg,img_086_gmluckycharmschocolate.jpg,img_086_gmluckycharmschocolate_cropped.png,General Mills
87,58,Adult,60,27%,8%,208,16,5,125,230,0,0,0,221,133.71,148.48,197.68,74.59,79.23,42.42,#dadbd5,512,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=87,http://cerealfacts.org/media/cereal_images/GMOatmealCrispCrunchyAlmond.jpg,img_087_gmoatmealcrispcrunchyalmond.jpg,img_087_gmoatmealcrispcrunchyalmond_cropped.png,General Mills
88,56,Adult,62,31%,8%,194,19,5,120,230,0,0,0,59,112.53,106.19,159.94,80.0,74.56,53.6,#dcd8cf,82,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=88,http://cerealfacts.org/media/cereal_images/GMOatmealCrispHeartyRaisin.jpg,img_088_gmoatmealcrispheartyraisin.jpg,img_088_gmoatmealcrispheartyraisin_cropped.png,General Mills
89,48,Adult,49,29%,10%,469,14,5,230,180,0,0,0,222,129.21,147.97,184.81,61.64,71.63,56.68,#eedead,256,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=89,http://cerealfacts.org/media/cereal_images/GMRaisinNutBran.jpg,img_089_gmraisinnutbran.jpg,img_089_gmraisinnutbran_cropped.png,General Mills
90,38,Child,29,34%,3%,552,10,1,160,120,0,0,0,116,48.85,110.08,178.87,60.4,65.81,67.02,#e64a00,147,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=90,http://cerealfacts.org/media/cereal_images/GMReesesPuffs.jpg,img_090_gmreesespuffs.jpg,img_090_gmreesespuffs_cropped.png,General Mills
91,52,Adult,53,32%,9%,434,17,5,230,160,0,0,0,91,100.16,69.03,127.77,62.94,73.11,74.92,#371b68,249,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=91,http://cerealfacts.org/media/cereal_images/GMTotalRaisinBran.jpg,img_091_gmtotalraisinbran.jpg,img_091_gmtotalraisinbran_cropped.png,General Mills
92,52,Adult,30,17%,10%,633,5,3,190,100,0,0,0,91,144.67,123.04,105.86,78.34,67.99,97.35,#cc293c,175,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=92,http://cerealfacts.org/media/cereal_images/GMTotalWholeGrain.jpg,img_092_gmtotalwholegrain.jpg,img_092_gmtotalwholegrain_cropped.png,General Mills
93,70,Adult,53,26%,8%,170,14,4,90,200,0,0,0,252,137.02,155.65,196.65,94.71,88.12,67.36,#8b0d10,141,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=93,http://cerealfacts.org/media/cereal_images/GMTotalHoneyAlmondFlax.jpg,img_093_gmtotalhoneyalmondflax.jpg,img_093_gmtotalhoneyalmondflax_cropped.png,General Mills
94,42,Child,32,31%,3%,562,10,1,180,120,0,1,0,79,126.12,144.01,175.41,87.56,79.07,82.01,#ffffff,2155,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=94,http://cerealfacts.org/media/cereal_images/GMTrix.jpg,img_094_gmtrix.jpg,img_094_gmtrix_cropped.png,General Mills
95,52,Adult,27,15%,11%,704,4,3,190,100,0,0,0,121,91.19,124.0,205.76,82.39,64.17,66.24,#ffffff,592,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=95,http://cerealfacts.org/media/cereal_images/GMWheaties.jpg,img_095_gmwheaties.jpg,img_095_gmwheaties_cropped.png,General Mills
96,58,Adult,55,25%,15%,255,14,8,140,190,0,0,0,8,50.11,54.19,83.82,64.36,70.06,90.97,#1c0000,118,black,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=96,http://cerealfacts.org/media/cereal_images/GMWheatiesFuel.jpg,img_096_gmwheatiesfuel.jpg,img_096_gmwheatiesfuel_cropped.png,General Mills
97,50,Adult,30,27%,43%,700,8,13,210,80,1,0,0,226,132.95,158.51,171.51,93.45,80.85,73.49,#e6e7e1,158,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=97,http://cerealfacts.org/media/cereal_images/KelloggAllBranBranBuds.jpg,img_097_kelloggallbranbranbuds.jpg,img_097_kelloggallbranbranbuds_cropped.png,Kellogg
98,52,Adult,29,17%,17%,724,5,5,210,90,1,0,0,255,157.68,181.58,196.31,92.08,75.99,74.15,#ffffff,33931,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=98,http://cerealfacts.org/media/cereal_images/KelloggAllBranCompleteWheatFlakes.jpg,img_098_kelloggallbrancompletewheatflakes.jpg,img_098_kelloggallbrancompletewheatflakes_cropped.png,Kellogg
99,72,Adult,31,19%,32%,258,6,10,80,80,1,0,0,255,151.94,167.76,204.28,94.18,82.62,62.09,#493534,60,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=99,http://cerealfacts.org/media/cereal_images/KelloggAllBranOriginal.jpg,img_099_kelloggallbranoriginal.jpg,img_099_kelloggallbranoriginal_cropped.png,Kellogg
100,44,Child,28,43%,11%,464,12,3,130,100,0,0,0,111,96.23,140.21,113.03,58.15,64.22,88.03,#ffffff,5353,green,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=100,http://cerealfacts.org/media/cereal_images/KelloggAppleJacksRegular.jpg,img_100_kelloggapplejacksregular.jpg,img_100_kelloggapplejacksregular_cropped.png,Kellogg
101,42,Child,31,39%,3%,419,12,1,130,120,0,1,1,254,107.75,127.71,162.27,78.18,73.91,67.31,#fbffff,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=101,http://cerealfacts.org/media/cereal_images/KelloggCocoaKrispiesRegular.jpg,img_101_kelloggcocoakrispiesregular.jpg,img_101_kelloggcocoakrispiesregular_cropped.png,Kellogg
102,50,Adult,28,11%,4%,714,3,1,200,100,1,0,0,103,116.6,151.51,167.3,91.39,82.1,94.36,#c1161c,206,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=102,http://cerealfacts.org/media/cereal_images/KelloggCornFlakes.jpg,img_102_kelloggcornflakes.jpg,img_102_kelloggcornflakes_cropped.png,Kellogg
103,50,Child,32,31%,9%,391,10,3,125,120,0,0,0,210,96.87,162.24,210.55,74.18,72.49,67.51,#e2e0e1,213,orange,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=103,http://cerealfacts.org/media/cereal_images/KelloggCornPopsRegular.jpg,img_103_kelloggcornpopsregular.jpg,img_103_kelloggcornpopsregular_cropped.png,Kellogg
104,40,Adult,49,31%,12%,306,15,6,150,200,0,0,0,255,140.09,123.04,120.38,67.56,66.61,81.94,#181b5e,256,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=104,http://cerealfacts.org/media/cereal_images/KelloggCracklinOatBran.jpg,img_104_kelloggcracklinoatbran.jpg,img_104_kelloggcracklinoatbran_cropped.png,Kellogg
105,46,Adult,29,14%,3%,759,4,1,220,110,0,0,0,82,146.35,129.58,96.77,63.24,59.48,103.81,#ffffff,5048,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=105,http://cerealfacts.org/media/cereal_images/KelloggCrispix.jpg,img_105_kelloggcrispix.jpg,img_105_kelloggcrispix_cropped.png,Kellogg
106,46,Adult,31,32%,3%,435,10,1,135,120,0,0,0,209,97.06,151.31,175.76,62.1,54.88,95.15,#007fc0,706,orange,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=106,http://cerealfacts.org/media/cereal_images/KelloggCrunchyNutGoldenHoneyNut.jpg,img_106_kelloggcrunchynutgoldenhoneynut.jpg,img_106_kelloggcrunchynutgoldenhoneynut_cropped.png,Kellogg
107,50,Adult,27,37%,7%,352,10,2,95,100,0,0,0,209,89.43,143.2,166.66,61.96,55.01,94.89,#007fc0,706,orange,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=107,http://cerealfacts.org/media/cereal_images/KelloggCrunchyNutGoldenHoneyNut.jpg,img_107_kelloggcrunchynutgoldenhoneynut.jpg,img_107_kelloggcrunchynutgoldenhoneynut_cropped.png,Kellogg
108,38,Adult,31,32%,0%,484,10,0,150,120,0,0,0,195,98.13,152.99,161.66,75.28,60.09,89.09,#ffc233,9915,orange,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=108,http://cerealfacts.org/media/cereal_images/KelloggCrunchyNutCaramelNut.jpg,img_108_kelloggcrunchynutcaramelnut.jpg,img_108_kelloggcrunchynutcaramelnut_cropped.png,Kellogg
109,46,Adult,31,39%,6%,484,12,2,150,120,0,0,0,208,117.01,162.95,217.64,82.61,76.09,47.4,#ffde15,251,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=109,http://cerealfacts.org/media/cereal_images/KelloggEggoCerealMapleSyrup.jpg,img_109_kelloggeggocerealmaplesyrup.jpg,img_109_kelloggeggocerealmaplesyrup_cropped.png,Kellogg
110,54,Adult,53,23%,19%,377,12,10,200,170,0,0,0,44,104.71,128.03,179.73,82.73,92.32,74.56,#ffffff,1624,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=110,http://cerealfacts.org/media/cereal_images/KelloggFiberPlusAntioxidantsBerryYogurtCrunch.jpg,img_110_kelloggfiberplusantioxidantsberryyogurtcrunch.jpg,img_110_kelloggfiberplusantioxidantsberryyogurtcrunch_cropped.png,Kellogg
111,54,Adult,49,24%,18%,408,12,9,200,170,0,0,0,41,105.64,122.17,125.71,78.97,74.25,94.48,#ffffff,814,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=111,http://cerealfacts.org/media/cereal_images/KelloggFiberPlusAntioxidantsCaramelPecanClusters.jpg,img_111_kelloggfiberplusantioxidantscaramelpecanclusters.jpg,img_111_kelloggfiberplusantioxidantscaramelpecanclusters_cropped.png,Kellogg
112,56,Adult,32,22%,28%,438,7,9,140,110,0,0,0,91,70.36,109.83,159.08,78.54,73.87,63.86,#9c4808,383,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=112,http://cerealfacts.org/media/cereal_images/KelloggFiberPlusAnitoxidantsCinnamonOatCrunch.jpg,img_112_kelloggfiberplusanitoxidantscinnamonoatcrunch.jpg,img_112_kelloggfiberplusanitoxidantscinnamonoatcrunch_cropped.png,Kellogg
113,44,Child,29,48%,7%,379,14,2,110,110,0,1,0,91,120.37,121.46,162.55,70.94,77.45,72.7,#010310,286,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=113,http://cerealfacts.org/media/cereal_images/KelloggFrootLoopsMarshmallows.jpg,img_113_kelloggfrootloopsmarshmallows.jpg,img_113_kelloggfrootloopsmarshmallows_cropped.png,Kellogg
114,42,Child,29,41%,10%,466,12,3,135,110,0,1,1,95,89.76,104.0,159.35,73.66,75.69,77.38,#ffffff,16422,brown,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=114,http://cerealfacts.org/media/cereal_images/KelloggFrootLoopsRegular.jpg,img_114_kelloggfrootloopsregular.jpg,img_114_kelloggfrootloopsregular_cropped.png,Kellogg
115,52,Child,30,27%,10%,533,8,3,160,110,0,1,1,78,136.87,129.62,116.6,78.23,68.67,104.37,#ffffff,1690,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=115,http://cerealfacts.org/media/cereal_images/KelloggFrostedFlakesReducedSugar.jpg,img_115_kelloggfrostedflakesreducedsugar.jpg,img_115_kelloggfrostedflakesreducedsugar_cropped.png,Kellogg
116,42,Child,30,37%,3%,467,11,1,140,110,0,1,1,78,149.81,143.43,146.14,79.92,76.24,101.84,#fbffff,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=116,http://cerealfacts.org/media/cereal_images/KelloggFrostedFlakesRegular.jpg,img_116_kelloggfrostedflakesregular.jpg,img_116_kelloggfrostedflakesregular_cropped.png,Kellogg
117,48,Family,27,56%,4%,148,15,1,40,100,0,1,0,68,58.16,104.51,186.07,62.64,78.03,55.23,#ce2015,92,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=117,http://cerealfacts.org/media/cereal_images/KelloggHoneySmacks.jpg,img_117_kellogghoneysmacks.jpg,img_117_kellogghoneysmacks_cropped.png,Kellogg
118,56,Adult,60,28%,7%,250,17,4,150,230,0,0,0,245,104.69,173.14,185.16,76.31,65.32,71.6,#ffffbf,479,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=118,http://cerealfacts.org/media/cereal_images/KelloggLowFatGranolaWithRaisins.jpg,img_118_kellogglowfatgranolawithraisins.jpg,img_118_kellogglowfatgranolawithraisins_cropped.png,Kellogg
119,54,Adult,49,29%,6%,255,14,3,125,190,0,0,0,192,87.18,188.97,184.99,73.23,56.19,53.21,#ffffff,569,orange,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=119,http://cerealfacts.org/media/cereal_images/KelloggLowFatGranolaWithoutRaisins.jpg,img_119_kellogglowfatgranolawithoutraisins.jpg,img_119_kellogglowfatgranolawithoutraisins_cropped.png,Kellogg
120,74,Family,58,21%,10%,0,12,6,0,200,0,0,0,255,126.97,134.27,166.25,78.94,74.04,88.32,#6e8c46,256,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=120,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedBigBite.jpg,img_120_kelloggminiwheatfrostedbigbite.jpg,img_120_kelloggminiwheatfrostedbigbite_cropped.png,Kellogg
121,74,Family,54,20%,11%,0,11,6,0,190,0,1,0,254,125.87,146.1,158.3,84.95,69.26,90.4,#ffffff,547,orange,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=121,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedBiteSize.jpg,img_121_kelloggminiwheatfrostedbitesize.jpg,img_121_kelloggminiwheatfrostedbitesize_cropped.png,Kellogg
122,74,Family,55,22%,11%,0,12,6,0,190,0,0,0,226,169.01,159.99,144.74,53.59,52.16,70.69,#9faed5,108,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=122,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedBlueberryMuffin.jpg,img_122_kelloggminiwheatfrostedblueberrymuffin.jpg,img_122_kelloggminiwheatfrostedblueberrymuffin_cropped.png,Kellogg
123,74,Family,54,22%,11%,0,12,6,0,190,0,1,0,54,114.32,136.2,146.81,74.61,65.36,85.2,#005724,234,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=123,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedCinnamonStreusel.jpg,img_123_kelloggminiwheatfrostedcinnamonstreusel.jpg,img_123_kelloggminiwheatfrostedcinnamonstreusel_cropped.png,Kellogg
124,74,Family,55,22%,11%,0,12,6,0,190,0,1,0,54,124.31,132.86,141.74,74.8,72.2,87.79,#005623,512,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=124,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedMapleBrownSugar.jpg,img_124_kelloggminiwheatfrostedmaplebrownsugar.jpg,img_124_kelloggminiwheatfrostedmaplebrownsugar_cropped.png,Kellogg
125,74,Family,55,22%,11%,0,12,6,0,190,0,0,0,255,154.29,143.51,177.77,66.1,67.06,79.36,#e08aaf,1536,violet,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=125,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedStrawberryDelight.jpg,img_125_kelloggminiwheatfrostedstrawberrydelight.jpg,img_125_kelloggminiwheatfrostedstrawberrydelight_cropped.png,Kellogg
126,82,Family,55,0%,15%,0,0,8,0,190,0,0,0,77,153.57,146.35,123.58,56.08,64.03,99.12,#5482c0,466,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=126,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatUnfrostedBiteSize.jpg,img_126_kelloggminiwheatunfrostedbitesize.jpg,img_126_kelloggminiwheatunfrostedbitesize_cropped.png,Kellogg
127,74,Family,55,18%,11%,18,10,6,10,190,0,0,0,180,127.49,120.4,119.0,50.89,55.9,60.02,#bbb79e,145,grey,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=127,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedMixedBerryTouchOfFruit.jpg,img_127_kelloggminiwheatfrostedmixedberrytouchoffruit.jpg,img_127_kelloggminiwheatfrostedmixedberrytouchoffruit_cropped.png,Kellogg
128,54,Family,55,22%,11%,382,12,6,210,190,0,0,0,68,93.78,101.5,111.33,61.66,57.96,53.55,#ffffff,13480,black,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=128,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatLittleBitesChocolate.jpg,img_128_kelloggminiwheatlittlebiteschocolate.jpg,img_128_kelloggminiwheatlittlebiteschocolate_cropped.png,Kellogg
129,74,Family,55,22%,11%,0,12,6,0,190,0,0,0,254,121.28,148.26,151.88,81.83,59.31,72.84,#d7caa8,106,white,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=129,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatLittleBitesCinnamonRoll.jpg,img_129_kelloggminiwheatlittlebitescinnamonroll.jpg,img_129_kelloggminiwheatlittlebitescinnamonroll_cropped.png,Kellogg
